case_id,split,workload,entries,q_bits,rom_bits,sequence_length,head_dimension,score_scale,repetition,seed,optimized_oracle_probability_mae,optimized_oracle_probability_relative,optimized_oracle_probability_cosine,optimized_oracle_attention_mae,optimized_oracle_attention_relative,optimized_oracle_attention_cosine,ab_softmax_mae,ab_softmax_relative,ab_softmax_cosine,ab_attention_mae,ab_attention_relative,ab_attention_cosine,optimized_fp32_softmax_mae,optimized_fp32_softmax_relative,optimized_fp32_softmax_cosine,optimized_fp32_attention_mae,optimized_fp32_attention_relative,optimized_fp32_attention_cosine,optimized_probability_sum,optimized_probability_sum_error,ab_probability_sum_error,optimized_fp32_probability_sum_error,case_worst_error
random_scores_L128_D64_scale0_R0,calibration,random_scores,64,10,704,128,64,1.0,0,685338081,5.742943136288837e-05,0.007350967214449711,0.9999713072965524,0.0007082153702608303,0.0064639739273954265,0.99997810172187,1.2044400591548765e-05,0.0015408404247449184,0.9999998188847226,0.00018794236530084163,0.001714889187414639,0.9999997700326942,5.742943221775931e-05,0.007350967156998976,0.9999713072181482,0.0007082120646373369,0.006463943586435291,0.9999781017913217,1.0020886905840598,0.0020886905840598047,0.001541683275718242,0.0020886678830720484,0.007350967214449711
random_scores_L128_D64_scale0_R1,calibration,random_scores,64,10,704,128,64,1.0,1,663847107,6.0978596113556884e-05,0.007805260302535281,0.9999627155017992,0.0010410529371825887,0.01052494034126385,0.9999465657399117,2.0433534245967166e-05,0.0026161968860511082,0.9999996024862464,0.00024936073168646544,0.0025303833372209887,0.9999995054293384,6.097862979004276e-05,0.007805264459108896,0.9999627154357024,0.0010410576651338488,0.010524987979367871,0.9999465654137314,1.0023462073877454,0.0023462073877453804,0.0026154923834837973,0.0023461876553483307,0.01052494034126385
random_scores_L128_D64_scale1_R0,calibration,random_scores,64,10,704,128,64,2.0,0,3773109054,5.5752914138872215e-05,0.0071363730097756435,0.9999795537964763,0.0013818061084440603,0.007630089333673131,0.9999714917723297,1.9322153235634687e-05,0.0024748444640868956,0.9999997359233711,0.0005000733945053071,0.00276994914708015,0.9999997083284903,5.575289129922112e-05,0.007136370007064393,0.9999795537886716,0.0013818037696182728,0.007630076435244919,0.9999714916997561,1.001823154387239,0.0018231543872389011,0.00247323561416124,0.0018231432841275819,0.007630089333673131
random_scores_L128_D64_scale1_R1,calibration,random_scores,64,10,704,128,64,2.0,1,595832534,7.131883606606776e-05,0.009128811016456673,0.9999675905097745,0.00120385340899658,0.008434895676019741,0.9999698535430394,2.768125921193132e-05,0.00354368456405904,0.9999998917765114,0.0005492215350386687,0.0038528664349946496,0.9999998439809837,7.131864252230002e-05,0.00912878540707084,0.9999675905812977,0.0012038424611091614,0.008434817780444024,0.9999698536849285,1.0034067937413056,0.0034067937413055915,0.003543201179127209,0.00340670218656669,0.009128811016456673
random_scores_L128_D128_scale0_R0,calibration,random_scores,64,10,704,128,128,1.0,0,3390620030,6.349660176337026e-05,0.008127565025711393,0.9999668126808716,0.0009418182813993681,0.009724935529653539,0.9999563745384081,2.4932012593126274e-05,0.00319271099114379,0.9999993096201671,0.000407775747589767,0.004227084594306366,0.9999991817286423,6.349656064230658e-05,0.008127559627622207,0.9999668127111708,0.0009418194331374252,0.009724947144405681,0.9999563745619893,1.0027486082399264,0.002748608239926398,0.003191297611920163,0.002748591679846868,0.009724935529653539
random_scores_L128_D128_scale0_R1,calibration,random_scores,64,10,704,128,128,1.0,1,4022284655,6.761143345348701e-05,0.008654263482046337,0.9999529633503087,0.0010552699164428955,0.010545746611982154,0.9999427258338076,1.5065634215716273e-05,0.001927656483775418,0.9999997696852186,0.0001869382176664658,0.001867603243336447,0.9999997923705032,6.761136910427012e-05,0.008654254855448773,0.9999529633026677,0.0010552679596003145,0.010545726485013587,0.9999427258344389,1.0023147230385803,0.0023147230385802686,0.001928401179611683,0.0023146779858507216,0.010545746611982154
random_scores_L128_D128_scale1_R0,calibration,random_scores,64,10,704,128,128,2.0,0,887663375,6.325120751395456e-05,0.008096154561786183,0.999976594901999,0.0015920050613401895,0.007874385637009674,0.999970116960197,1.922793389041999e-05,0.0024609348624906064,0.9999993529868985,0.0005947795289102942,0.0029455662234644147,0.9999991878768562,6.325113193028642e-05,0.008096145349266316,0.9999765951046519,0.0015919967117952183,0.007874344671711954,0.9999701173463496,1.002558973934356,0.0025589739343558904,0.0024611755379737588,0.0025590310219740786,0.008096154561786183
random_scores_L128_D128_scale1_R1,calibration,random_scores,64,10,704,128,128,2.0,1,1888543280,6.175239015842881e-05,0.007904305940278888,0.9999830243715041,0.0012779402872006096,0.005799931693855554,0.9999843335523844,2.2959901400554372e-05,0.0029368368115438906,0.9999999714168261,0.0006529763049911708,0.0029771537290631403,0.9999999707054623,6.17526419546266e-05,0.007904337975508154,0.9999830241347413,0.001277950927033089,0.0057999797868270525,0.9999843332655806,1.003630280575635,0.00363028057563497,0.0029388673792709596,0.003630255945608951,0.007904305940278888
random_scores_L256_D64_scale0_R0,calibration,random_scores,64,10,704,256,64,1.0,0,2004917602,3.5832239245348296e-05,0.009173053246809164,0.9999519855125526,0.0008927900649720259,0.012033248151530944,0.9999431936949384,1.861773176869974e-05,0.004768851827784116,0.9999989595562331,0.00037426229391712695,0.005042910007830161,0.9999983741710489,3.583225515058075e-05,0.009173057083881076,0.9999519854029808,0.0008927892049541697,0.012033236163223344,0.9999431939668942,1.004197345188004,0.004197345188003965,0.004766139332787134,0.004197319605736993,0.012033248151530944
random_scores_L256_D64_scale0_R1,calibration,random_scores,64,10,704,256,64,1.0,1,1803965758,3.749842174684643e-05,0.009599595967192686,0.9999561326735825,0.0008573181405346509,0.011243972690633111,0.9999519145558573,1.2609056383894313e-05,0.0032268799613175323,0.9999983981161372,0.00027651042910292745,0.003614719256631671,0.9999980169552123,3.7498469666275014e-05,0.009599608664819893,0.9999561326694891,0.0008573218074161559,0.011244021471083639,0.9999519146401249,1.0035497379540175,0.0035497379540174734,0.003227918434276944,0.0035497827739163768,0.011243972690633111
